Geography,Type of beverage,"Value, volume and absolute volume",2015 / 2016,2016 / 2017,2017 / 2018,2018 / 2019,2019 / 2020,2020 / 2021,2021 / 2022,2022 / 2023,2023 / 2024
Ontario,Total alcoholic beverages,Volume for total per capita sales,94.5,95.5,93.3,92.8,93.2,93.4,90.9,88.6,82.6
Ontario,Spirits,Volume for total per capita sales,5.1,5.5,5.5,5.5,5.6,5.8,5.8,5.4,5
Ontario,Wines,Volume for total per capita sales,15.1,15.4,15.2,14.3,15,15.1,14.3,13.3,12.1
Ontario,Beer,Volume for total per capita sales,69.6,69.4,67.1,66.7,65.5,62.8,59.5,58.7,54.4
Ontario,"Ciders, Coolers, and Other Refreshment Beverages",Volume for total per capita sales,4.7,5.3,5.5,6.2,7.1,9.7,11.4,11.3,11.1
Manitoba,Total alcoholic beverages,Volume for total per capita sales,96.1,94.9,94,91.3,88.4,95.5,91.2,88.1,84.3
Manitoba,Spirits,Volume for total per capita sales,6.7,6.8,6.8,6.7,6.8,7.3,7.1,7.1,6.5
Manitoba,Wines,Volume for total per capita sales,10.9,11.1,11.2,10.6,10.8,11,10.1,9.7,8.6
Manitoba,Beer,Volume for total per capita sales,73.6,71.7,70.2,67.7,63.8,66.4,61,56.2,54
Manitoba,"Ciders, Coolers, and Other Refreshment Beverages",Volume for total per capita sales,4.8,5.4,5.8,6.3,7.1,10.8,13.1,15.1,15.1
Alberta,Total alcoholic beverages,Volume for total per capita sales,110.8,105.3,104.1,101.4,98.1,102.5,97.7,93.4,88.9
Alberta,Spirits,Volume for total per capita sales,8.2,8,7.8,7.9,8.1,8.7,8.4,8.1,7.9
Alberta,Wines,Volume for total per capita sales,13.3,13,13.1,12.8,12.9,13,11.9,11.1,10.4
Alberta,Beer,Volume for total per capita sales,80.8,76.1,74.4,71.5,66.7,65.4,61.6,59,55.5
Alberta,"Ciders, Coolers, and Other Refreshment Beverages",Volume for total per capita sales,8.5,8.3,8.8,9.3,10.4,15.5,15.8,15.3,15.1
British Columbia,Total alcoholic beverages,Volume for total per capita sales,107.1,105.8,107.2,105.6,104.5,105.1,104.1,99.5,90.9
British Columbia,Spirits,Volume for total per capita sales,6.4,6.4,6.4,6.4,6.5,6.7,6.8,6.7,6.1
British Columbia,Wines,Volume for total per capita sales,17.6,18.3,18.4,17.7,17.9,18,17.3,16,14.4
British Columbia,Beer,Volume for total per capita sales,73,70.7,70.9,68.4,65,61.1,60.2,58.2,52.9
British Columbia,"Ciders, Coolers, and Other Refreshment Beverages",Volume for total per capita sales,10.1,10.4,11.5,13.1,15.1,19.2,19.8,18.6,17.6
Ontario,Total alcoholic beverages,Value for total per capita sales,683.4,707.8,714.8,729.3,756,774.2,785.2,783.7,762.1
Ontario,Spirits,Value for total per capita sales,169.3,177.1,184.3,187.1,196,209.4,218.7,215.8,208.5
Ontario,Wines,Value for total per capita sales,208.2,216.4,220.5,216.9,228.5,233.1,232.2,223.2,215.2
Ontario,Beer,Value for total per capita sales,280.2,285.1,279.6,290.5,291.4,276.8,269.2,277.8,268.3
Ontario,"Ciders, Coolers, and Other Refreshment Beverages",Value for total per capita sales,25.7,29.1,30.4,34.9,40.1,55,65.1,66.9,70.2
Manitoba,Total alcoholic beverages,Value for total per capita sales,714.8,723,735.8,722.1,725.7,783.4,765.6,761.1,725.5
Manitoba,Spirits,Value for total per capita sales,223.1,225.2,227.9,225.8,233.7,252.3,249,256.7,241.1
Manitoba,Wines,Value for total per capita sales,149.8,153.8,158.3,151.7,155.9,155.6,147.6,145.4,135.6
Manitoba,Beer,Value for total per capita sales,309.8,309.1,312,303.9,289.9,304.6,285.5,262.5,248.7
Manitoba,"Ciders, Coolers, and Other Refreshment Beverages",Value for total per capita sales,32.2,34.8,37.6,40.8,46.2,70.9,83.6,96.5,100.1
Alberta,Total alcoholic beverages,Value for total per capita sales,771.9,747.5,749,743.6,739.5,773.4,762.6,756.1,729.5
Alberta,Spirits,Value for total per capita sales,223.8,220.5,219.7,227,235.8,252.1,250.9,251.4,241.5
Alberta,Wines,Value for total per capita sales,176.3,173.8,177.1,175.4,177.6,179.9,175.7,171.5,162.4
Alberta,Beer,Value for total per capita sales,330.3,311.7,308.4,294.8,274.3,264.5,257.1,254,244
Alberta,"Ciders, Coolers, and Other Refreshment Beverages",Value for total per capita sales,41.5,41.6,43.7,46.5,51.7,76.8,78.9,79.3,81.5
British Columbia,Total alcoholic beverages,Value for total per capita sales,787.1,801,829.1,833,846.3,859.1,742.2,737.5,702
British Columbia,Spirits,Value for total per capita sales,196.2,200.2,207,209.8,216.3,225.6,228.5,233.1,217.5
British Columbia,Wines,Value for total per capita sales,267.7,277.7,287.6,285,290.7,287.2,209.7,203.2,191.4
British Columbia,Beer,Value for total per capita sales,277.6,275.8,282,276,265.9,251.3,209.6,207.9,198.4
British Columbia,"Ciders, Coolers, and Other Refreshment Beverages",Value for total per capita sales,45.5,47.3,52.5,62.2,73.4,95,94.4,93.2,94.8
Ontario,Total alcoholic beverages,Absolute volume for total per capita sales,7.5,7.7,7.7,7.5,7.6,7.8,7.6,7.3,6.8
Ontario,Spirits,Absolute volume for total per capita sales,2,2.1,2.1,2.1,2.1,2.2,2.2,2,1.9
Ontario,Wines,Absolute volume for total per capita sales,1.9,2,1.9,1.8,1.9,1.9,1.8,1.7,1.5
Ontario,Beer,Absolute volume for total per capita sales,3.3,3.3,3.3,3.3,3.2,3.1,2.9,2.9,2.7
Ontario,"Ciders, Coolers, and Other Refreshment Beverages",Absolute volume for total per capita sales,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.7,0.7
Manitoba,Total alcoholic beverages,Absolute volume for total per capita sales,7.8,7.8,7.7,7.5,7.5,8,7.7,7.5,7.1
Manitoba,Spirits,Absolute volume for total per capita sales,2.6,2.6,2.6,2.5,2.6,2.8,2.7,2.7,2.5
Manitoba,Wines,Absolute volume for total per capita sales,1.4,1.4,1.4,1.3,1.4,1.4,1.3,1.2,1.1
Manitoba,Beer,Absolute volume for total per capita sales,3.6,3.5,3.4,3.3,3.1,3.2,2.9,2.7,2.6
Manitoba,"Ciders, Coolers, and Other Refreshment Beverages",Absolute volume for total per capita sales,0.3,0.3,0.3,0.4,0.4,0.6,0.8,0.9,0.9
Alberta,Total alcoholic beverages,Absolute volume for total per capita sales,9.3,8.9,8.8,8.6,8.6,9,8.6,8.2,7.8
Alberta,Spirits,Absolute volume for total per capita sales,3.1,3,2.9,3,3,3.2,3.1,3,2.9
Alberta,Wines,Absolute volume for total per capita sales,1.7,1.6,1.6,1.6,1.6,1.6,1.5,1.4,1.3
Alberta,Beer,Absolute volume for total per capita sales,4,3.8,3.7,3.5,3.3,3.2,3,2.9,2.7
Alberta,"Ciders, Coolers, and Other Refreshment Beverages",Absolute volume for total per capita sales,0.5,0.5,0.5,0.5,0.6,0.9,0.9,0.9,0.9
British Columbia,Total alcoholic beverages,Absolute volume for total per capita sales,8.9,8.8,8.9,8.8,8.8,9,8.9,8.5,7.8
